polytechnic_name,polytechnic_code,probidhan,session_year,student_roll,first_semester,second_semester,third_semester,fourth_semester,fifth_semester,sixth_semester,seventh_semester,eighth_semester
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800409,3,3.06,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800425,3.13,3.08,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800428,3.48,3.56,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800432,3.88,3.95,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800437,3.13,3.42,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800440,3.8,3.86,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800447,3.55,3.43,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800472,3.35,3.61,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800485,3.16,3.27,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800489,3.6,3.88,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800508,3.36,3.35,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800524,3.1,3.13,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800527,3.4,2.92,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800540,3.33,3.04,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800546,3.26,3.2,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800551,2.93,3.1,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800552,3.43,3.7,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800562,3.67,3.27,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800567,3.49,3.08,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800575,3.43,2.95,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800613,3.37,3.63,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800616,3,3.05,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800632,3.21,3.1,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800664,3.15,2.84,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800671,3.14,3.35,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800672,3.14,3.28,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800673,3.15,3.36,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800683,3.1,3.35,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800685,3.48,3.15,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800689,3.28,3.4,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800692,3.68,3.73,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800697,3.25,3.18,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800701,3.33,3.36,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800720,3.23,3.62,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800725,3.08,3.06,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800728,3.8,3.83,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800733,2.95,2.9,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800735,3.25,3.2,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800738,2.95,3.31,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800750,3.5,3.86,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800759,3.5,3.04,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800763,3.53,3.74,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800764,3.63,3.46,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800768,3.3,3.49,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800786,3.3,3.12,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800789,3.1,3.24,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800790,3.05,3.11,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800794,3.63,3.26,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800796,3.43,3.13,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800842,3.1,3,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800844,3.48,3.3,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800850,3.35,3.43,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800858,2.84,3.02,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800870,2.98,3.1,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800882,3.33,3.31,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800884,3.09,3.1,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800887,3.45,3.33,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800888,3.11,3.31,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800889,3.4,3.56,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800898,3.1,3,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800901,3.25,3.36,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800905,3.08,3.48,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,830603,3.35,2.94,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,830976,3.68,3.04,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,836999,3.25,2.93,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,873690,2.95,2.9,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,600872,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,700381,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,700441,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,700582,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,700630,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,700672,3.1,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,700753,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,700756,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,700780,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,700839,2.68,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,700878,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,700978,2.78,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800020,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800022,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800023,2.95,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800025,2.93,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800027,3.1,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800033,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800034,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800038,2.99,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800041,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800044,3.17,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800045,3.4,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800047,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800050,3,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800051,3,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800053,3.12,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800055,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800059,3,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800061,2.98,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800065,3.07,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800072,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800076,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800082,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800087,3.32,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800088,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800089,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800092,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800093,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800094,3.11,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800131,3.21,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800155,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800158,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800161,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800166,3.11,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800170,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800176,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800178,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800185,3.13,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800189,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800198,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800201,2.71,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800204,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800209,3.45,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800210,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800211,2.95,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800217,3.15,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800218,2.98,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800225,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800235,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800254,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800258,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800265,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800272,2.9,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800284,null,3.01,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800288,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800292,3,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800305,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800306,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800308,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800310,2.84,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800312,2.89,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800317,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800319,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800326,null,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800328,3.05,null,null,null,null,null,null,null
