polytechnic_name,polytechnic_code,probidhan,session_year,student_roll,first_semester,second_semester,third_semester,fourth_semester,fifth_semester,sixth_semester,seventh_semester,eighth_semester
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2021-2022,189266,null,null,null,"25931(T), 26411(T),
26421(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2021-2022,190001,null,null,null,"26712(T), 26722(T),
27044(T)",null,null,null,null
"Himaloy Polytechnic Institute of Technology, Panchagar",11044,2022,2021-2022,190004,null,null,null,26712(T),null,null,null,null
"Rainbow Polytechnic Institute, Panchagar",11047,2022,2021-2022,600070,null,null,null,"25931(T), 26833(T),
27044(T)",null,null,null,null
"Minal Private Polytechnic Institute, Panchagar",11057,2022,2021-2022,600101,null,null,null,"25831(T), 25911(T),
25913(T), 25931(T), 26831(T),
26841(T,P), 28521(T), 28531(T),
28541(T,P), 28542(T,P), 28543(T,P),
28544(T,P), 29041(T,P)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,188103,null,null,null,"28541(T), 28542(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,189584,null,null,null,28521(T),null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,400844,null,null,null,"25922(T), 27131(T),
28567(T), 29241(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,500858,null,null,null,"25913(T), 25921(T),
25922(T), 27131(T), 27211(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,501179,null,null,null,"25931(T), 26821(T),
27131(T), 28567(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600105,null,null,null,25921(T),null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600119,null,null,null,"25921(T), 25922(T),
25931(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600120,null,null,null,"25922(T), 25931(T),
26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600132,null,null,null,"25922(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600150,null,null,null,"25841(T), 25921(T),
25922(T), 25931(T), 26411(T),
26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600157,null,null,null,"25921(T), 25931(T),
26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600171,null,null,null,"25931(T), 26447(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600180,null,null,null,"25841(T), 25931(T),
26143(T), 26447(T), 26711(T)",null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600186,null,null,null,25931(T),null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600187,null,null,null,26447(T),null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600188,null,null,null,25841(T),null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2021-2022,600189,null,null,null,"25841(T), 25931(T)",null,null,null,null
