polytechnic_name,polytechnic_code,probidhan,Session_year,student_roll,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400698,null,null,null,null,null,null,67243(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400704,null,null,null,null,null,null,"66447(T), 66454(T),
66463(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400794,null,null,null,null,null,null,"66447(T), 66454(T),
66463(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400828,null,null,null,null,null,null,"66867(T), 67064(T),
67071(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400891,null,null,null,null,null,null,"66834(T), 66867(T),
67064(T), 67071(T), 67162(T),
69271(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400960,null,null,null,null,null,null,"66867(T), 67064(T),
67071(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500179,null,null,null,null,null,null,"66664(T), 66672(T),
66842(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500189,null,null,null,null,null,null,66671(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500192,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500200,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500220,null,null,null,null,null,null,"66661(T), 66662(T),
66671(T), 66672(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500229,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500234,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500246,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500247,null,null,null,null,null,null,66662(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500260,null,null,null,null,null,null,"66661(T), 66662(T),
66671(T), 66675(T), 66842(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500262,null,null,null,null,null,null,"66662(T), 66672(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500266,null,null,null,null,null,null,66662(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500277,null,null,null,null,null,null,66678(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500282,null,null,null,null,null,null,65853(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500283,null,null,null,null,null,null,66671(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500285,null,null,null,null,null,null,"66662(T), 66678(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500289,null,null,null,null,null,null,66671(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500340,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500343,null,null,null,null,null,null,"66661(T), 66672(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500349,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500352,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500356,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500357,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500360,null,null,null,null,null,null,"66664(T), 66672(T) ",null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500362,null,null,null,null,null,null,66672(T) ,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500365,null,null,null,null,null,null,66672(T) ,null
