polytechnic_name,polytechnic_code,probidhan,Session_year,student_roll,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400500,null,null,null,null,null,"66363(T), 66961(T),
67045(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400513,null,null,null,null,null,66363(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400538,null,null,null,null,null,"66363(T), 67045(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400579,null,null,null,null,null,"66363(T), 66961(T),
67045(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400589,null,null,null,null,null,"66363(T), 67045(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400629,null,null,null,null,null,67251(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400636,null,null,null,null,null,67243(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400642,null,null,null,null,null,"67243(T), 67253(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400656,null,null,null,null,null,"67131(T), 67241(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400679,null,null,null,null,null,"65851(T), 67243(T),
67253(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400698,null,null,null,null,null,67243(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400704,null,null,null,null,null,"66447(T), 66454(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400794,null,null,null,null,null,"66447(T), 66454(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400828,null,null,null,null,null,67064(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400891,null,null,null,null,null,"66834(T), 67064(T),
67162(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,400960,null,null,null,null,null,67064(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,490641,null,null,null,null,null,"65852(T), 66353(T),
66363(T), 66964(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500177,null,null,null,null,null,66662(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500179,null,null,null,null,null,"66661(T), 66664(T),
66842(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500181,null,null,null,null,null,66662(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500189,null,null,null,null,null,66653(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500192,null,null,null,null,null,"66653(T), 66662(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500200,null,null,null,null,null,66662(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500220,null,null,null,null,null,"66661(T), 66662(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500234,null,null,null,null,null,"66661(T), 66662(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500247,null,null,null,null,null,66662(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500255,null,null,null,null,null,"66653(T), 66661(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500260,null,null,null,null,null,"65852(T), 66661(T),
66662(T), 66842(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500262,null,null,null,null,null,"66661(T), 66662(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500266,null,null,null,null,null,66662(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500277,null,null,null,null,null,66662(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500282,null,null,null,null,null,"66653(T), 66661(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500283,null,null,null,null,null,"66661(T), 66662(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500284,null,null,null,null,null,"66661(T), 66662(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500285,null,null,null,null,null,"66653(T), 66662(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500343,null,null,null,null,null,"66653(T), 66661(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500344,null,null,null,null,null,66661(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500349,null,null,null,null,null,66661(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500360,null,null,null,null,null,"66661(T), 66664(T) ",null,null
