polytechnic_name,polytechnic_code,probidhan,session_year,student_roll,first_semester,second_semester,third_semester,fourth_semester,fifth_semester,sixth_semester,seventh_semester,eighth_semester
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501002,null,null,null,null,null,null,null,67041(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501042,null,null,null,null,null,null,null,66463(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501059,null,null,null,null,null,null,null,66463(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501078,null,null,null,null,null,null,null,66441(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501092,null,null,null,null,null,null,null,66447(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501116,null,null,null,null,null,null,null,66441(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501143,null,null,null,null,null,null,null,"66631(T), 67071(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501146,null,null,null,null,null,null,null,66631(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501147,null,null,null,null,null,null,null,"66867(T), 67064(T),
67071(T), 69262(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501157,null,null,null,null,null,null,null,66867(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501171,null,null,null,null,null,null,null,66867(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501173,null,null,null,null,null,null,null,"66867(T), 69271(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501196,null,null,null,null,null,null,null,"66631(T), 66867(T)"
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501198,null,null,null,null,null,null,null,66867(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501206,null,null,null,null,null,null,null,66867(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,501207,null,null,null,null,null,null,null,66867(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,518325,null,null,null,null,null,null,null,66363(T)
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,549030,null,null,null,null,null,null,null,66662(T)
"Pirgonj Polytechnic Institute, Thakurgaon",12097,2016,2020-2021,301078,null,null,null,null,null,null,null,"66454(T),
66455(T)"
"Pirgonj Polytechnic Institute, Thakurgaon",12097,2016,2020-2021,501226,null,null,null,null,null,null,null,66456(T)
"Pirgonj Polytechnic Institute, Thakurgaon",12097,2016,2020-2021,501263,null,null,null,null,null,null,null,"66771(T), 67045(T)"
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,401088,null,null,null,null,null,null,null,66641(T)
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,401163,null,null,null,null,null,null,null,"66631(T), 66761(T),
66867(T)"
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,501303,null,null,null,null,null,null,null,"66456(T), 66474(T)"
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,501304,null,null,null,null,null,null,null,66456(T)
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,501305,null,null,null,null,null,null,null,66474(T)
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,501317,null,null,null,null,null,null,null,66474(T)
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,501321,null,null,null,null,null,null,null,66454(T)
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,501334,null,null,null,null,null,null,null,66662(T)
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,501357,null,null,null,null,null,null,null,66681(P)
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,501377,null,null,null,null,null,null,null,66631(T)
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,501383,null,null,null,null,null,null,null,"66631(T), 66761(T)"
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,501402,null,null,null,null,null,null,null,66761(T)
"Life Line Polytechnic Institute, Thakurgaon",12100,2016,2020-2021,501404,null,null,null,null,null,null,null,67064(T)
"Thakurgaon Polytechnic And Textile Institute, Thakurgaon",12110,2016,2020-2021,401299,null,null,null,null,null,null,null,"66631(T), 66762(T)"
"Social Polytechnic Institute, Thakurgaon",12119,2016,2020-2021,185818,null,null,null,null,null,null,null,66771(T)
"Social Polytechnic Institute, Thakurgaon",12119,2016,2020-2021,185819,null,null,null,null,null,null,null,"66774(T), 66863(T)"
"Social Polytechnic Institute, Thakurgaon",12119,2016,2020-2021,188048,null,null,null,null,null,null,null,"66761(T), 66863(T)"
"Social Polytechnic Institute, Thakurgaon",12119,2016,2020-2021,501473,null,null,null,null,null,null,null,"66456(T), 66474(T)"
"Social Polytechnic Institute, Thakurgaon",12119,2016,2020-2021,501488,null,null,null,null,null,null,null,66662(T)
"Social Polytechnic Institute, Thakurgaon",12119,2016,2020-2021,501489,null,null,null,null,null,null,null,"66662(T), 66678(T)"
"Social Polytechnic Institute, Thakurgaon",12119,2016,2020-2021,501515,null,null,null,null,null,null,null,67045(T)
"Social Polytechnic Institute, Thakurgaon",12119,2016,2020-2021,501516,null,null,null,null,null,null,null,66761(T)
"Ranisonkoil Polytechnic Institute, Thakurgaon",12122,2016,2020-2021,501529,null,null,null,null,null,null,null,66662(T)
"Ranisonkoil Polytechnic Institute, Thakurgaon",12122,2016,2020-2021,501549,null,null,null,null,null,null,null,66662(T)
"Dinajpur Polytechnic Institute, Dinajpur",13085,2016,2020-2021,102328,null,null,null,null,null,null,null,"66762(T), 66774(T),
66845(T), 66863(T)"
"Dinajpur Polytechnic Institute, Dinajpur",13085,2016,2020-2021,102340,null,null,null,null,null,null,null,66771(T)
"Dinajpur Polytechnic Institute, Dinajpur",13085,2016,2020-2021,102420,null,null,null,null,null,null,null,66474(T)
"Dinajpur Polytechnic Institute, Dinajpur",13085,2016,2020-2021,102503,null,null,null,null,null,null,null,"66454(T), 66456(T),
66463(T), 66474(T)"
"Dinajpur Polytechnic Institute, Dinajpur",13085,2016,2020-2021,102518,null,null,null,null,null,null,null,"66441(T), 66452(T),
66454(T), 66474(T)"
"Dinajpur Polytechnic Institute, Dinajpur",13085,2016,2020-2021,102587,null,null,null,null,null,null,null,"66672(T), 66676(T)"
"Dinajpur Polytechnic Institute, Dinajpur",13085,2016,2020-2021,103119,null,null,null,null,null,null,null,"66764(T), 66773(T),
67162(T)"
"Dinajpur Polytechnic Institute, Dinajpur",13085,2016,2020-2021,172420,null,null,null,null,null,null,null,"66456(T), 66465(T),
66472(T), 66474(T)"
"Dinajpur Polytechnic Institute, Dinajpur",13085,2016,2020-2021,184012,null,null,null,null,null,null,null,67045(T)
"Dinajpur Polytechnic Institute, Dinajpur",13085,2016,2020-2021,184024,null,null,null,null,null,null,null,"66764(T), 67162(T)"
