polytechnic_name,polytechnic_code,probidhan,Session_year,student_roll,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8
"Rainbow Polytechnic Institute, Panchagar",11047,2022,2023-2024,800019,2.83,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800023,2.95,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800024,2.98,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800025,2.93,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800027,3.10,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800028,3.33,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800029,3.31,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800030,3.17,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800032,3.14,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800035,3.62,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800036,3.74,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800044,3.17,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800045,3.40,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800053,3.12,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800060,3.38,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800064,3.29,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800065,3.07,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800067,3.14,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800069,3.11,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800078,3.00,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800079,3.42,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800083,3.08,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800084,3.49,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800087,3.32,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800090,3.33,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800094,3.11,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800137,3.77,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800144,3.20,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800146,2.80,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800149,3.02,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800167,2.74,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800185,3.13,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800209,3.45,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800213,3.48,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800214,3.24,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800216,3.31,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800221,3.13,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800226,2.98,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800231,3.53,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800237,3.26,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800238,3.01,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800241,2.65,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800248,2.83,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800261,3.36,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800264,3.03,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800271,2.83,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800278,3.00,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800289,3.36,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800290,3.44,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800292,3.00,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800299,2.70,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800311,3.53,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800321,3.38,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800332,2.70,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800338,3.28,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800339,3.10,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800343,3.08,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800349,3.23,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800355,3.35,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800357,3.00,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800364,2.88,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2022,2023-2024,800369,2.85,null,null,null,null,null,null,null
