polytechnic_name,polytechnic_code,probidhan,Session_year,student_roll,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600258,3.67,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600262,3.83,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600273,3.90,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600277,3.64,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600278,3.67,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600279,3.46,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600286,3.36,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600288,3.42,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600289,3.36,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600291,3.50,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600298,3.44,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600300,3.40,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600301,3.64,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600306,3.30,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600307,3.57,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600320,3.24,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600330,3.43,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600338,3.62,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600344,3.89,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600345,3.68,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600346,3.89,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600347,3.75,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600348,3.90,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600352,3.39,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600354,3.82,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600356,3.65,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600357,3.88,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600363,3.76,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600364,3.67,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600366,3.82,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600367,3.77,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600368,3.39,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600369,3.73,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600370,3.79,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600371,3.50,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600375,3.89,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600377,3.75,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600378,3.90,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600383,3.06,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600386,3.89,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600387,3.69,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600390,3.50,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600391,3.27,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600392,3.71,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600393,3.44,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600404,3.68,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600407,3.39,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600408,3.23,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600410,3.94,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600420,3.20,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600421,3.38,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600429,3.51,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600430,3.40,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600431,3.61,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600435,3.25,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600439,3.36,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600440,3.69,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600441,3.80,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600445,3.69,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600447,3.01,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600463,3.29,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600465,3.85,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600469,3.64,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600471,3.57,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600474,3.46,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600476,3.75,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600477,3.64,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600478,3.45,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600483,3.69,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600485,3.65,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600488,3.48,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600491,3.35,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600494,3.62,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600499,3.11,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600501,3.69,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600505,3.56,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600506,3.35,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600507,3.26,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600508,3.24,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600518,3.43,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600519,3.52,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600522,3.42,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600524,3.81,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600526,3.33,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600537,3.41,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600541,3.64,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600543,3.23,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600547,3.39,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600548,3.75,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600550,2.99,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600553,3.54,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600555,3.70,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600563,3.09,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600568,3.26,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600569,3.41,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600572,3.39,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600574,3.28,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600577,3.19,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600579,3.28,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600588,3.00,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600591,3.23,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600595,3.21,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600599,3.14,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600615,3.46,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600617,3.35,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600618,3.20,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600620,3.34,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600621,3.13,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600626,3.28,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600629,3.15,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600637,3.33,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600640,3.21,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600648,3.31,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600651,2.80,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600652,3.55,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600653,2.86,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600655,3.64,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600656,3.75,null,null,null,null,null,null,null
"Thakurgaon Polytechnic Institute ,Thakurgaon",12053,2022,2021-2022,600657,3.53,null,null,null,null,null,null,null
